x,y,rob
0.30018,5.9999,-0.10679
0.30018,5.9999,-0.10679
0.30015,5.9997,-0.10685
0.30015,5.9998,-0.10685
0.30016,5.9998,-0.10683
0.35218,5.7889,0.14253
0.39168,5.3372,0.19325
0.30019,5.9999,-0.10677
0.50308,5.5134,0.2468
0.30389,5.976,0.046327
0.30022,6,-0.10672
0.46697,5.9457,0.20116
0.30023,6,-0.10671
0.30022,6,-0.10671
0.30022,6,-0.10671
0.51695,5.9929,0.19345
0.32447,5.907,0.086328
0.30022,6,-0.10671
0.30022,6,-0.10671
0.30022,6,-0.10671
0.30819,5.6485,0.085258
0.30011,5.9997,-0.10701
0.30007,5.9995,-0.10709
0.30007,5.9995,-0.1071
0.30001,5.9993,-0.10637
0.30028,5.9997,-0.10663
0.30021,5.9997,-0.10674
0.30005,5.9995,-0.10713
0.30004,5.9995,-0.10714
0.30004,5.9995,-0.10714
0.30003,5.9995,-0.10716
0.30002,5.9995,-0.10716
0.30001,5.9995,-0.10716
0.30001,5.9995,-0.10716
0.3326,5.8266,0.12458
0.30001,5.9995,-0.10717
0.3,5.9994,-0.10719
0.30002,5.9996,-0.10715
0.3,5.9996,-0.10718
0.3112,5.6401,0.087941
0.30003,5.9997,-0.10712
0.30001,5.9996,-0.10717
0.30002,5.9998,-0.10714
0.30003,5.9999,-0.10711
0.40037,5.5147,0.16697
0.30003,5.9999,-0.10711
0.30003,6,-0.10796
0.30003,6,-0.10795
0.42971,5.8655,0.19303
0.33802,5.7858,0.13025
0.30003,6,-0.10796
0.30002,6,-0.10798
0.30001,6,-0.10799
0.30001,6,-0.10799
0.30001,6,-0.10799
0.30001,6,-0.10799
